date,rate,item
31/03/14,2567662.19,292008
30/04/14,2752695.64,281420
31/05/14,2741751.4,332925
30/06/14,2459090.22,293740
31/07/14,2913370.48,382901
31/08/14,3000623.27,429637
30/09/14,3400565.65,567742
31/10/14,3193821.08,543711
30/11/14,3701654.67,669074
31/12/14,3976118.12,749612
31/01/15,3502145.17,584001
28/02/15,3223189.01,621318
31/03/15,3321380.4,536005
30/04/15,2604432.28,406777
31/05/15,2412666.28,405919
30/06/15,2153163.35,384236
31/07/15,2420488.76,398492
31/08/15,2665800.3,371641
30/09/15,3683892.36,376204
31/10/15,4082441.81,363183
30/11/15,3524281.47,309538
31/12/15,4423282.17,382584
31/01/16,4108515.84,301022
29/02/16,4118403.71,303400
31/03/16,4155454.06,291321
30/04/16,3774604.08,324121
31/05/16,3882884.98,332393
30/06/16,3685837.19,316049
31/07/16,4002957.56,340008
31/08/16,4053456.16,320212
30/09/16,4122453.71,333449
31/10/16,4037928.8,303212
30/11/16,4447380.34,310490
31/12/16,5288493.84,412002
31/01/17,5420980.66,407120
28/02/17,5181408.87,365981
31/03/17,5277467.13,424687
30/04/17,3739654.03,310152
31/05/17,2498902.93,271234
30/06/17,246201.92,20276
